Date,Open,Close,High,Low
2014-11-07,1.2454,1.2373,1.2471,1.2357
2014-11-06,1.2375,1.2485,1.2535,1.2363
2014-11-05,1.2486,1.2545,1.2568,1.2456
2014-11-04,1.2546,1.2481,1.2578,1.248
2014-11-03,1.2483,1.2515,1.2517,1.2441
2014-10-31,1.2525,1.2612,1.2617,1.2484
2014-10-30,1.2613,1.263,1.264,1.2546
2014-10-29,1.2632,1.2733,1.2772,1.2629
2014-10-28,1.2734,1.2698,1.2765,1.2683
2014-10-27,1.2698,1.2681,1.2725,1.2664
2014-10-24,1.2671,1.2645,1.2695,1.2633
2014-10-23,1.2647,1.2648,1.2678,1.2612
2014-10-22,1.2649,1.2715,1.274,1.2635
2014-10-21,1.2715,1.28,1.284,1.2712
2014-10-20,1.2799,1.2757,1.2817,1.273
2014-10-17,1.2763,1.2809,1.2837,1.2742
2014-10-16,1.281,1.2835,1.2847,1.2704
2014-10-15,1.2837,1.2658,1.2886,1.2623
2014-10-14,1.2659,1.2751,1.2769,1.2639
2014-10-13,1.2753,1.2636,1.2762,1.2618
2014-10-10,1.2628,1.269,1.2716,1.2604
2014-10-09,1.2691,1.2732,1.2792,1.2663
2014-10-08,1.2734,1.2668,1.2749,1.2621
2014-10-07,1.267,1.2654,1.2683,1.2582
2014-10-06,1.2654,1.2507,1.2676,1.2502
2014-10-03,1.2517,1.2667,1.2676,1.2499
2014-10-02,1.2669,1.2621,1.2698,1.2612
2014-10-01,1.2624,1.263,1.264,1.2583
2014-09-30,1.2632,1.2683,1.2703,1.257
2014-09-29,1.2685,1.2684,1.2716,1.2663
2014-09-26,1.2685,1.275,1.2761,1.2675
2014-09-25,1.2751,1.2779,1.2785,1.2697
2014-09-24,1.278,1.2845,1.2864,1.2773
2014-09-23,1.2847,1.2849,1.2903,1.284
2014-09-22,1.285,1.2826,1.2868,1.2814
2014-09-19,1.2829,1.2922,1.293,1.2826
2014-09-18,1.2923,1.2864,1.2931,1.2833
2014-09-17,1.2866,1.2958,1.2981,1.285
2014-09-16,1.296,1.2937,1.2995,1.2921
2014-09-15,1.2941,1.2975,1.2981,1.2907
2014-09-12,1.2965,1.2924,1.298,1.2908
2014-09-11,1.2926,1.2916,1.2952,1.2895
2014-09-10,1.2917,1.2935,1.2963,1.2882
2014-09-09,1.2937,1.2896,1.2959,1.2858
2014-09-08,1.2897,1.2942,1.2963,1.2881
2014-09-05,1.2951,1.2943,1.2987,1.292
2014-09-04,1.2945,1.3146,1.3155,1.2918
2014-09-03,1.3151,1.313,1.3161,1.3121
2014-09-02,1.3133,1.3128,1.3139,1.3108
2014-09-01,1.3128,1.3137,1.3146,1.3117
2014-08-29,1.3133,1.3178,1.3196,1.313
2014-08-28,1.3183,1.3192,1.3221,1.3158
2014-08-27,1.3193,1.3167,1.3211,1.3151
2014-08-26,1.3169,1.3191,1.3216,1.3163
2014-08-25,1.3193,1.3218,1.3219,1.3182
2014-08-22,1.3243,1.3281,1.3298,1.3219
2014-08-21,1.3282,1.3259,1.3289,1.3241
2014-08-20,1.326,1.3318,1.3326,1.3253
2014-08-19,1.332,1.3362,1.3366,1.3311
2014-08-18,1.3363,1.3392,1.34,1.3351
2014-08-15,1.3399,1.3365,1.3412,1.3357
2014-08-14,1.3364,1.3362,1.341,1.3346
2014-08-13,1.3364,1.3369,1.3416,1.3341
2014-08-12,1.337,1.3385,1.3386,1.3335
